,Abstract_num,Subject,std_Predicate,Predicate,Objects
0,8052950,architecture,have , has," potential
"
1,8052950,architecture,base , based on," resistive processing unit RPU devices
"
2,8052950,potential,achieve , achieve," significant acceleration
"
3,8052950,today,'s , 's," implementations
"
4,8052950,today - software based based DNN implementations,run , running on," CPU GPU
"
5,8748502,Evolutionary algorithms,include , include," Particle Swam Optimization
"
6,8748502,machine learning algorithms,include , include," KNN
"
7,7906955,identifying suitable indicators,base , based on," linear regression
"
8,7906955,C4.5 Decision Tree,employ , employed,"  identifying suitable indicators
"
9,7906955,C4.5 Decision Tree,employ , employed," models
"
10,6884826,IFM model,include , includes," generalized Markov Graph ( GMG ) model
"
11,6884826,generalized Markov Graph GMG model,, as," social network model
"
12,6884826,diffusion,depend , depends," characteristics
"
13,8679493,Analysis,use , Using," Machine Learning
"
14,8752977,Analysis,give , Given," high popularity
"
15,7538346,Analysis,analyze , analyze," present
"
16,7538346,future predictions,utilize , utilizing," data mining
"
17,7538346,future predictions,utilize , utilizing," machine learning techniques learning
"
18,8721646,results,provide , provide," insightful views
"
19,8721646,results,provide , provide," - device free free Wi Fi indoor localization
"
20,8721646,- device free free Wi Fi indoor localization,use , using," channel state information
"
21,7925154,social networks,have , had," recent years
"
22,7925154,social networks,have , had," rapid development
"
23,7077296,SVM,be , was,"  discriminating between
"
24,7150873,work,focus , focuses," extraction
"
25,7150873,focuses,do , done," classifiers
"
26,7150873,order,ensure , ensure," correctness
"
27,7150873,validation,do , done," order
"
28,7150873,validation,do , done,"  employing same techniques
"
29,7150873,SVM,account , accounted," %
"
30,6979510,Analysis,impact , impacted," ground
"
31,6979510,air traffic demand,expect , expected," capacity
"
32,6979510,airport,'s , 's," capacity
"
33,8806531,Naive Bayes,use , used," Base classifiers
"
34,6687155,Analysis,grow , growing," scale
"
35,6687155,Empirical results,present , presented," insight
"
36,8806301,success,analyze , analyzed," purpose
"
37,8806301,success,analyze , analyzed," classification task
"
38,8806301,CNN,improve , improve," accuracy
"
39,4370724,HHT,compose , composed," empirical mode decomposition
"
40,8478463,multilayer neural network,use , used," signals
"
41,8478463,Fourier transform,analyze , analyzed," order
"
42,8478463,order,diagnose , diagnose," epilepsy
"
43,8478463,order,diagnose , diagnose," remission
"
44,8478463,order,diagnose , diagnose," absence
"
45,8718271,prediction method,play , plays," crucial roles
"
46,8718271,prediction method,play , plays," accurate prediction
"
47,6918792,feature selection techniques,test , tested," paper
"
48,6918792,feature selection techniques,test , tested," classifiers
"
